id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year
tt0499549,1,Avatar,"$2,847,397,339","$760,507,625",26.7%,"$2,086,889,714",73.3%,2009
tt4154796,2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019
tt0120338,3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997
tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015
tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018
tt10872600,6,Spider-Man: No Way Home,"$1,901,218,408","$804,779,335",42.3%,"$1,096,439,073",57.7%,2021
tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015
tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019
tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015
tt4520988,11,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019
tt2395427,12,Avengers: Age of Ultron,"$1,402,809,540","$459,005,868",32.7%,"$943,803,672",67.3%,2015
tt1825683,13,Black Panther,"$1,347,597,973","$700,426,566",52%,"$647,171,407",48%,2018
tt1201607,14,Harry Potter and the Deathly Hallows: Part 2,"$1,342,359,942","$381,447,587",28.4%,"$960,912,355",71.6%,2011
tt2527336,15,Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830","$620,181,382",46.5%,"$712,517,448",53.5%,2017
tt4881806,16,Jurassic World: Fallen Kingdom,"$1,310,466,296","$417,719,760",31.9%,"$892,746,536",68.1%,2018
tt2294629,17,Frozen,"$1,281,508,100","$400,953,009",31.3%,"$880,555,091",68.7%,2013
tt2771200,18,Beauty and the Beast,"$1,273,576,220","$504,481,165",39.6%,"$769,095,055",60.4%,2017
tt3606756,19,Incredibles 2,"$1,243,089,244","$608,581,744",49%,"$634,507,500",51%,2018
tt4630562,20,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017
tt1300854,21,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%,2013
tt2293640,22,Minions,"$1,159,444,662","$336,045,770",29%,"$823,398,892",71%,2015
tt3498820,23,Captain America: Civil War,"$1,153,337,496","$408,084,349",35.4%,"$745,253,147",64.6%,2016
tt1477834,24,Aquaman,"$1,148,528,393","$335,104,314",29.2%,"$813,424,079",70.8%,2018
tt0167260,25,The Lord of the Rings: The Return of the King,"$1,146,436,214","$378,251,207",33%,"$768,185,007",67%,2003
tt6320628,26,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019
tt4154664,27,Captain Marvel,"$1,128,462,972","$426,829,839",37.8%,"$701,633,133",62.2%,2019
tt1399103,28,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011
tt1074638,29,Skyfall,"$1,108,569,499","$304,360,277",27.5%,"$804,209,222",72.5%,2012
tt2109248,30,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996",77.8%,2014
tt0107290,31,Jurassic Park,"$1,099,699,003","$404,214,720",36.8%,"$695,484,283",63.2%,1993
tt1345836,32,The Dark Knight Rises,"$1,081,153,097","$448,149,584",41.4%,"$633,003,513",58.6%,2012
tt7286456,33,Joker,"$1,074,445,730","$335,477,657",31.2%,"$738,968,073",68.8%,2019
tt2527338,34,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,149,279","$515,202,542",48%,"$558,946,737",52%,2019
tt1979376,35,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019
tt0435761,36,Toy Story 3,"$1,066,970,811","$415,004,880",38.9%,"$651,965,931",61.1%,2010
tt0383574,37,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747","$423,315,812",39.7%,"$642,863,935",60.3%,2006
tt0110357,38,The Lion King,"$1,063,611,805","$422,783,777",39.8%,"$640,828,028",60.2%,1994
tt3748528,39,Rogue One: A Star Wars Story,"$1,056,057,720","$532,177,324",50.4%,"$523,880,396",49.6%,2016
tt6139732,40,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,2019
tt1298650,41,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23%,"$804,642,000",77%,2011
tt3469046,42,Despicable Me 3,"$1,034,800,131","$264,624,300",25.6%,"$770,175,831",74.4%,2017
tt2277860,43,Finding Dory,"$1,028,570,942","$486,295,561",47.3%,"$542,275,381",52.7%,2016
tt0120915,44,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707","$474,544,677",46.2%,"$552,538,030",53.8%,1999
tt1014759,45,Alice in Wonderland,"$1,025,468,216","$334,191,110",32.6%,"$691,277,106",67.4%,2010
tt2948356,46,Zootopia,"$1,024,121,104","$341,268,248",33.3%,"$682,852,856",66.7%,2016
tt0241527,47,Harry Potter and the Sorcerer's Stone,"$1,022,290,019","$318,886,962",31.2%,"$703,403,057",68.8%,2001
tt0903624,48,The Hobbit: An Unexpected Journey,"$1,017,030,651","$303,030,651",29.8%,"$714,000,000",70.2%,2012
tt0468569,49,The Dark Knight,"$1,006,102,277","$534,987,076",53.2%,"$471,115,201",46.8%,2008
tt0926084,50,Harry Potter and the Deathly Hallows: Part 1,"$977,070,383","$296,374,621",30.3%,"$680,695,762",69.7%,2010
tt1690953,51,Despicable Me 2,"$970,766,005","$368,065,385",37.9%,"$602,700,620",62.1%,2013
tt3040964,52,The Jungle Book,"$966,554,929","$364,001,123",37.7%,"$602,553,806",62.3%,2016
tt2283362,53,Jumanji: Welcome to the Jungle,"$962,542,945","$404,540,171",42%,"$558,002,774",58%,2017
tt2310332,54,The Hobbit: The Battle of the Five Armies,"$962,201,338","$255,138,261",26.5%,"$707,063,077",73.5%,2014
tt0449088,55,Pirates of the Caribbean: At World's End,"$960,996,492","$309,420,425",32.2%,"$651,576,067",67.8%,2007
tt1170358,56,The Hobbit: The Desolation of Smaug,"$959,027,992","$258,387,334",26.9%,"$700,640,658",73.1%,2013
tt0167261,57,The Lord of the Rings: The Two Towers,"$947,896,241","$342,952,511",36.2%,"$604,943,730",63.8%,2002
tt0373889,58,Harry Potter and the Order of the Phoenix,"$942,201,710","$292,382,727",31%,"$649,818,983",69%,2007
tt0266543,59,Finding Nemo,"$940,352,645","$380,843,261",40.5%,"$559,509,384",59.5%,2003
tt9419884,60,Doctor Strange in the Multiverse of Madness,"$935,883,660","$400,883,660",42.8%,"$535,000,000",57.2%,2022
tt0417741,61,Harry Potter and the Half-Blood Prince,"$934,483,039","$302,334,374",32.4%,"$632,148,665",67.6%,2009
tt0298148,62,Shrek 2,"$928,760,770","$441,226,247",47.5%,"$487,534,523",52.5%,2004
tt1727824,63,Bohemian Rhapsody,"$910,809,311","$216,668,042",23.8%,"$694,141,269",76.2%,2018
tt13462900,64,The Battle at Lake Changjin,"$902,540,935","$342,411",<0.1%,"$902,198,524",100%,2021
tt0120737,65,The Lord of the Rings: The Fellowship of the Ring,"$898,094,742","$316,115,420",35.2%,"$581,979,322",64.8%,2001
tt0330373,66,Harry Potter and the Goblet of Fire,"$896,730,264","$290,469,928",32.4%,"$606,260,336",67.6%,2005
tt0413300,67,Spider-Man 3,"$894,983,373","$336,530,303",37.6%,"$558,453,070",62.4%,2007
tt1080016,68,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.2%,"$690,113,112",77.8%,2009
tt2379713,69,Spectre,"$880,681,519","$200,074,609",22.7%,"$680,606,910",77.3%,2015
tt2250912,70,Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%,2017
tt0295297,71,Harry Potter and the Chamber of Secrets,"$879,914,552","$262,641,637",29.8%,"$617,272,915",70.2%,2002
tt1667889,72,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.4%,"$715,922,939",81.6%,2012
tt2709768,73,The Secret Life of Pets,"$875,458,631","$368,384,330",42.1%,"$507,074,301",57.9%,2016
tt2975590,74,Batman v Superman: Dawn of Justice,"$873,637,528","$330,360,194",37.8%,"$543,277,334",62.2%,2016
tt7131870,75,Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%,2017
tt0121766,76,Star Wars: Episode III - Revenge of the Sith,"$868,390,560","$380,270,577",43.8%,"$488,119,983",56.2%,2005
tt1951264,77,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.1%,"$440,343,699",50.9%,2013
tt3896198,78,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%,2017
tt2096673,79,Inside Out,"$858,848,019","$356,921,711",41.6%,"$501,926,308",58.4%,2015
tt1270797,80,Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%,2018
tt3501632,81,Thor: Ragnarok,"$853,983,879","$315,058,289",36.9%,"$538,925,590",63.1%,2017
tt1375666,82,Inception,"$836,848,102","$292,587,330",35%,"$544,260,772",65%,2010
tt1055369,83,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.1%,"$434,191,823",51.9%,2009
tt1673434,84,The Twilight Saga: Breaking Dawn - Part 2,"$829,747,654","$292,324,737",35.2%,"$537,422,917",64.8%,2012
tt0145487,85,Spider-Man,"$825,025,036","$407,022,860",49.3%,"$418,002,176",50.7%,2002
tt0451279,86,Wonder Woman,"$822,854,286","$412,845,172",50.2%,"$410,009,114",49.8%,2017
tt13364790,87,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%,2021
tt0116629,88,Independence Day,"$817,400,891","$306,169,268",37.5%,"$511,231,623",62.5%,1996
tt3183660,89,Fantastic Beasts and Where to Find Them,"$814,044,001","$234,037,575",28.8%,"$580,006,426",71.2%,2016
tt0413267,90,Shrek the Third,"$813,367,380","$322,719,944",39.7%,"$490,647,436",60.3%,2007
tt2380307,91,Coco,"$807,817,888","$210,460,015",26%,"$597,357,873",74%,2017
tt1745960,92,Top Gun: Maverick,"$806,367,545","$422,167,545",52.4%,"$384,200,000",47.6%,2022
tt7975244,93,Jumanji: The Next Level,"$800,059,707","$320,314,960",40%,"$479,744,747",60%,2019
tt0304141,94,Harry Potter and the Prisoner of Azkaban,"$797,491,273","$250,105,651",31.4%,"$547,385,622",68.6%,2004
tt1790809,95,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,881,442","$172,558,876",21.7%,"$622,322,566",78.3%,2017
tt0083866,96,E.T. the Extra-Terrestrial,"$792,910,554","$435,110,554",54.9%,"$357,800,000",45.1%,1982
